Keyword,Subjects,Location,Volume,KD,Current position,Position change,Previous URL,Current URL,top_3,top_10,everything_else,serp_position,dropped,increased,stable,position_shifts
tennis lessons ottawa adults,Other,ottawa,40,1,14,New,,https://www.superprof.ca/lessons/tennis/ottawa/,0,0,1,Everything else,0,1,0,
photography class near me,Other,brampton,40,2,14,New,,https://www.superprof.ca/lessons/photography/brampton/,0,0,1,Everything else,0,1,0,
oil painting classes,Other,canada,40,3,14,13,https://www.superprof.ca/lessons/oil-painting/canada/,https://www.superprof.ca/lessons/oil-painting/canada/,0,0,1,Everything else,0,1,0,increased
sewing classes etobicoke,Other,toronto,40,0,14,-7,https://www.superprof.ca/lessons/sewing/toronto/,https://www.superprof.ca/lessons/sewing/toronto/,0,0,1,Everything else,1,0,0,decreased
tutoring centers,category 4,montreal,40,24,13,New,,https://www.superprof.ca/lessons/all-tutors/montreal/,0,0,1,Everything else,0,1,0,
guitar lessons nanaimo,category 7,nanaimo,40,1,13,-3,https://www.superprof.ca/lessons/guitar/nanaimo/,https://www.superprof.ca/lessons/guitar/nanaimo/,0,0,1,Everything else,1,0,0,decreased
bachata lessons,Other,canada,40,7,13,-2,https://www.superprof.ca/lessons/bachata/canada/,https://www.superprof.ca/lessons/bachata/canada/,0,0,1,Everything else,1,0,0,decreased
scuba lessons near me,Other,canada,40,43,13,14,https://www.superprof.ca/lessons/scuba-diving/canada/,https://www.superprof.ca/lessons/scuba-diving/canada/,0,0,1,Everything else,0,1,0,increased
beginner tennis lessons toronto,Other,toronto,40,3,13,-6,https://www.superprof.ca/lessons/tennis/toronto/,https://www.superprof.ca/lessons/tennis/toronto/,0,0,1,Everything else,1,0,0,decreased
harp lessons,Other,canada,40,0,13,8,https://www.superprof.ca/lessons/harp/canada/,https://www.superprof.ca/lessons/harp/canada/,0,0,1,Everything else,0,1,0,increased
spanish class toronto,category 9,toronto,40,5,13,-2,https://www.superprof.ca/lessons/spanish/toronto/,https://www.superprof.ca/lessons/spanish/toronto/,0,0,1,Everything else,1,0,0,decreased
french classes gatineau,category 2,gatineau,40,1,13,,https://www.superprof.ca/lessons/french/gatineau/,https://www.superprof.ca/lessons/french/gatineau/,0,0,1,Everything else,0,0,1,stable
cooking classes montreal for beginners,Other,montreal,40,4,13,-4,https://www.superprof.ca/lessons/cooking/montreal/,https://www.superprof.ca/lessons/cooking/montreal/,0,0,1,Everything else,1,0,0,decreased
drum teacher,Other,toronto,40,2,12,-6,https://www.superprof.ca/lessons/drum/canada/,https://www.superprof.ca/lessons/drum/toronto/,0,0,1,Everything else,1,0,0,decreased
kids singing lessons,category 6,montreal,40,0,12,New,,https://www.superprof.ca/lessons/singing/montreal/children/,0,0,1,Everything else,0,1,0,
portuguese classes toronto,Other,toronto,40,0,12,-2,https://www.superprof.ca/lessons/portuguese/toronto/,https://www.superprof.ca/lessons/portuguese/toronto/,0,0,1,Everything else,1,0,0,decreased
esl classes ajax,Other,ajax,40,4,12,New,,https://www.superprof.ca/lessons/esl/ajax/,0,0,1,Everything else,0,1,0,
chess tutorial,Other,canada,40,36,11,5,https://www.superprof.ca/lessons/chess/toronto/,https://www.superprof.ca/lessons/chess/canada/,0,0,1,Everything else,0,1,0,increased
sewing lessons edmonton,Other,edmonton,40,0,11,,https://www.superprof.ca/lessons/sewing/edmonton/,https://www.superprof.ca/lessons/sewing/edmonton/,0,0,1,Everything else,0,0,1,stable
piano lessons cost,category 10,vaughan,40,0,11,New,,https://www.superprof.ca/lessons/piano/vaughan/,0,0,1,Everything else,0,1,0,
french classes burnaby,category 2,burnaby,40,0,11,-7,https://www.superprof.ca/lessons/french/burnaby/,https://www.superprof.ca/lessons/french/burnaby/,0,0,1,Everything else,1,0,0,decreased
bollywood dance classes surrey,Other,surrey,40,0,11,4,https://www.superprof.ca/lessons/bollywood-dancing/surrey/,https://www.superprof.ca/lessons/bollywood-dancing/surrey/,0,0,1,Everything else,0,1,0,increased
acrylic painting classes near me,Other,toronto,40,7,11,-7,https://www.superprof.ca/lessons/painting/montreal/,https://www.superprof.ca/lessons/acrylic-paint/toronto/,0,0,1,Everything else,1,0,0,decreased
cpa tutor,Other,ottawa,40,0,10,New,,https://www.superprof.ca/lessons/accounting/ottawa/,0,1,0,Top 10,0,1,0,
guitar lessons sherwood park,category 7,sherwood-park,40,1,10,New,,https://www.superprof.ca/lessons/guitar/sherwood-park/,0,1,0,Top 10,0,1,0,
piano lessons chilliwack,category 10,chilliwack,40,0,10,-7,https://www.superprof.ca/lessons/piano/chilliwack/,https://www.superprof.ca/lessons/piano/chilliwack/,0,1,0,Top 10,1,0,0,decreased
violin lessons saskatoon,Other,saskatoon,40,4,10,-7,https://www.superprof.ca/lessons/violin/saskatoon/,https://www.superprof.ca/lessons/violin/saskatoon/,0,1,0,Top 10,1,0,0,decreased
piano lessons nanaimo,category 10,nanaimo,40,3,10,9,https://www.superprof.ca/lessons/piano/nanaimo/,https://www.superprof.ca/lessons/piano/nanaimo/,0,1,0,Top 10,0,1,0,increased
adult tennis lessons near me,Other,toronto,40,0,10,11,https://www.superprof.ca/lessons/tennis/toronto/,https://www.superprof.ca/lessons/tennis/toronto/,0,1,0,Top 10,0,1,0,increased
python coding classes near me,Other,brampton,40,0,10,New,,https://www.superprof.ca/lessons/python/brampton/,0,1,0,Top 10,0,1,0,
coding classes brampton,Other,brampton,40,0,10,-4,https://www.superprof.ca/lessons/computer-programming/brampton/,https://www.superprof.ca/lessons/computer-programming/brampton/,0,1,0,Top 10,1,0,0,decreased
london ontario cooking classes,Other,london,40,2,10,6,https://www.superprof.ca/lessons/cooking/london/,https://www.superprof.ca/lessons/cooking/london/,0,1,0,Top 10,0,1,0,increased
kickboxing lessons,Other,canada,40,0,9,3,https://www.superprof.ca/lessons/kickboxing/canada/,https://www.superprof.ca/lessons/kickboxing/canada/,0,1,0,Top 10,0,1,0,increased
violin lesson,Other,canada,40,8,9,-2,https://www.superprof.ca/lessons/violin/toronto/,https://www.superprof.ca/lessons/violin/canada/,0,1,0,Top 10,1,0,0,decreased
singing lessons burlington,category 6,burlington,40,1,9,-1,https://www.superprof.ca/lessons/vocal-coach/burlington/,https://www.superprof.ca/lessons/singing/burlington/,0,1,0,Top 10,1,0,0,decreased
french lessons halifax,category 2,halifax,40,0,9,-3,https://www.superprof.ca/lessons/french/halifax/,https://www.superprof.ca/lessons/french/halifax/,0,1,0,Top 10,1,0,0,decreased
piano lessons lethbridge,category 10,lethbridge,40,0,9,-1,https://www.superprof.ca/lessons/piano/lethbridge/,https://www.superprof.ca/lessons/piano/lethbridge/,0,1,0,Top 10,1,0,0,decreased
spanish lessons mississauga,category 9,mississauga,40,0,9,-7,https://www.superprof.ca/lessons/spanish/mississauga/,https://www.superprof.ca/lessons/spanish/mississauga/,0,1,0,Top 10,1,0,0,decreased
spanish class near me,category 9,burlington,40,0,9,-8,https://www.superprof.ca/lessons/spanish/bowmanville/,https://www.superprof.ca/lessons/spanish/burlington/,0,1,0,Top 10,1,0,0,decreased
chinese classes near me,Other,surrey,40,5,9,-4,https://www.superprof.ca/lessons/mandarin/canada/,https://www.superprof.ca/lessons/mandarin/surrey/,0,1,0,Top 10,1,0,0,decreased
tutoring center near me,category 4,vancouver,40,2,8,15,https://www.superprof.ca/lessons/all-tutors/brampton/,https://www.superprof.ca/lessons/all-tutors/vancouver/,0,1,0,Top 10,0,1,0,increased
voice lessons saskatoon,category 6,saskatoon,40,3,8,-4,https://www.superprof.ca/lessons/singing/saskatoon/,https://www.superprof.ca/lessons/singing/saskatoon/,0,1,0,Top 10,1,0,0,decreased
piano lessons west vancouver,category 10,west-vancouver,40,3,8,3,https://www.superprof.ca/lessons/piano/west-vancouver/,https://www.superprof.ca/lessons/piano/west-vancouver/,0,1,0,Top 10,0,1,0,increased
